iter	RMSE
0	0.7644457043
1	0.7577934316
2	0.7507195707
3	0.7453576264
4	0.7391877347
5	0.7349514939
6	0.72941571
7	0.7250697707
8	0.720432433
9	0.7168532692
10	0.7125787645
11	0.709453157
12	0.7059871085
13	0.7029601536
14	0.6996104587
15	0.6966461235
16	0.6938044041
17	0.6919561268
18	0.6889405272
19	0.6863919472
20	0.6839589051
21	0.68147839
22	0.6789332519
23	0.6768292873
24	0.6747932142
25	0.6735166995
26	0.6715152592
27	0.6694728925
28	0.6677684192
29	0.6662102602
30	0.6644486902
31	0.662989187
32	0.6616558356
33	0.6599495906
34	0.6588143508
35	0.6574650893
36	0.6563064951
37	0.6546423835
38	0.6535510711
39	0.6522409667
40	0.651210569
41	0.6502616769
42	0.6489667597
43	0.6482752074
44	0.6468904002
45	0.6461976834
46	0.6448019566
47	0.6438708631
48	0.642983342
49	0.6419500987
50	0.6408645104
51	0.6404208089
52	0.6389885884
53	0.6383491343
54	0.6375851843
55	0.6360621399
56	0.6355808063
57	0.6346167482
58	0.6334640925
59	0.6325224568
60	0.6322525739
61	0.6314008369
62	0.6303378346
63	0.6298272723
64	0.629336042
65	0.6287450287
66	0.6283331341
67	0.6276688954
68	0.6265633532
69	0.626034939
70	0.625212207
71	0.6242506402
72	0.6237054627
73	0.6230772195
74	0.6226855114
75	0.62196339
76	0.6213314112
77	0.6205920632
78	0.6198625862
79	0.618843591
80	0.6179389491
81	0.6175872265
82	0.6168263635
83	0.6160118781
84	0.6153670184
85	0.614923767
86	0.6144348072
87	0.6141301156
88	0.6135600454
89	0.6131186409
90	0.6124959649
91	0.6121029975
92	0.6112432532
93	0.610741972
94	0.6102164935
95	0.6096536134
96	0.6089734123
97	0.608534366
98	0.6080865153
99	0.6073106489
100	0.6064957176
101	0.6060168858
102	0.6056959304
103	0.6053839206
104	0.6047938452
105	0.6040399485
106	0.6038448163
107	0.6030292196
108	0.6021099647
109	0.6016424276
110	0.6010763759
111	0.6005767446
112	0.6002558153
113	0.5998266107
114	0.5993295405
115	0.5988567194
116	0.59863787
117	0.5982180172
118	0.5978048643
119	0.5971414231
120	0.5963753994
121	0.596003941
122	0.5957411403
123	0.5952803809
124	0.5949263238
125	0.5943514079
126	0.5937374419
127	0.5931778326
128	0.5923452114
129	0.5922322129
130	0.5919124996
131	0.5911832932
132	0.5907675931
133	0.5904832464
134	0.5897425528
135	0.5893026083
136	0.5890741166
137	0.5884578085
138	0.5880955262
139	0.5873163151
140	0.5869309539
141	0.5864201056
142	0.586117378
143	0.5853152232
144	0.5848024722
145	0.5841732886
146	0.5836785765
147	0.5832509891
148	0.5826008122
149	0.5820443453
150	0.5816080404
151	0.58104499
152	0.5806454428
153	0.5802828724
154	0.5797069664
155	0.579095207
156	0.5786522047
157	0.5784216749
158	0.577903095
159	0.5771224642
160	0.5762442136
161	0.5757017057
162	0.5749898302
163	0.5746843536
164	0.5740899439
165	0.5736087066
166	0.5730905365
167	0.5727817093
168	0.5722638941
169	0.571521159
170	0.5710352105
171	0.5707815726
172	0.5701510349
173	0.5696928792
174	0.5692955089
175	0.5691109429
176	0.5685761924
177	0.5683401397
