iter	Passed	Remaining
0	6	6824
1	14	6998
2	20	6939
3	28	7081
4	35	6997
5	42	6970
6	48	6818
7	54	6781
8	61	6751
9	67	6676
10	74	6685
11	80	6619
12	87	6667
13	93	6620
14	100	6625
15	107	6603
16	113	6577
17	120	6565
18	126	6529
19	148	7281
20	154	7184
21	160	7133
22	166	7081
23	172	7017
24	179	6982
25	184	6929
26	191	6900
27	197	6863
28	203	6827
29	210	6802
30	216	6764
31	223	6750
32	229	6724
33	235	6694
34	242	6676
35	248	6650
36	255	6645
37	261	6624
38	268	6611
39	274	6596
40	280	6568
41	287	6562
42	293	6542
43	300	6532
44	307	6516
45	313	6510
46	320	6495
47	326	6481
48	333	6475
49	340	6467
50	347	6469
51	354	6465
52	362	6479
53	369	6467
54	376	6475
55	383	6464
56	390	6456
57	396	6438
58	402	6423
59	409	6410
60	415	6388
61	421	6383
62	428	6367
63	435	6364
64	441	6351
65	447	6338
66	454	6332
67	460	6316
68	468	6317
69	474	6300
70	480	6291
71	487	6277
72	493	6271
73	500	6263
74	506	6252
75	513	6246
76	519	6231
77	526	6224
78	532	6211
79	539	6200
80	545	6186
81	551	6173
82	558	6172
83	564	6160
84	571	6156
85	578	6144
86	584	6133
87	596	6183
88	607	6220
89	619	6260
90	628	6277
91	636	6282
92	643	6271
93	653	6298
94	659	6286
95	666	6280
96	673	6265
97	680	6263
98	686	6250
99	694	6247
100	700	6235
101	707	6225
102	714	6220
103	720	6206
104	727	6200
105	733	6187
106	740	6178
107	746	6167
108	753	6158
109	760	6152
110	766	6140
111	773	6134
112	780	6125
113	787	6121
114	794	6115
115	802	6114
116	809	6107
117	816	6105
118	823	6096
119	831	6095
120	837	6086
121	845	6081
122	852	6074
123	859	6070
124	866	6067
125	873	6060
126	880	6053
127	887	6043
128	894	6042
129	901	6033
130	908	6029
131	915	6020
132	922	6015
133	929	6005
134	936	6000
135	943	5992
136	950	5986
137	956	5977
138	963	5969
139	970	5964
140	977	5954
141	984	5949
142	990	5938
143	998	5934
144	1005	5926
145	1012	5919
146	1019	5913
147	1025	5905
148	1032	5898
149	1039	5887
150	1046	5883
151	1053	5874
152	1060	5871
153	1066	5861
154	1074	5856
155	1080	5848
156	1087	5841
157	1094	5832
158	1100	5821
159	1107	5815
160	1114	5807
161	1121	5801
162	1128	5793
163	1135	5789
164	1141	5778
165	1148	5770
166	1155	5764
167	1162	5755
168	1168	5748
169	1175	5737
170	1182	5732
171	1188	5722
172	1195	5715
173	1201	5704
174	1208	5698
175	1214	5688
176	1220	5677
177	1228	5671
178	1234	5661
179	1241	5655
180	1247	5645
181	1254	5637
182	1260	5629
183	1267	5619
184	1274	5613
185	1280	5602
186	1287	5595
187	1293	5586
188	1300	5579
189	1319	5623
190	1324	5611
191	1330	5600
192	1337	5591
193	1343	5580
194	1349	5571
195	1355	5561
196	1362	5553
197	1368	5542
198	1374	5531
199	1380	5522
200	1386	5510
201	1392	5502
202	1399	5493
203	1405	5483
204	1412	5476
205	1418	5467
206	1425	5459
207	1430	5448
208	1437	5440
209	1443	5431
210	1449	5421
211	1456	5413
212	1462	5403
213	1469	5397
214	1475	5387
215	1482	5380
216	1488	5372
217	1495	5363
218	1501	5356
219	1508	5346
220	1515	5340
221	1521	5331
222	1527	5323
223	1534	5316
224	1540	5306
225	1548	5302
226	1554	5292
227	1560	5285
228	1567	5276
229	1573	5268
230	1580	5262
231	1586	5251
232	1593	5244
233	1599	5234
234	1606	5228
235	1612	5219
236	1618	5210
237	1624	5201
238	1630	5192
239	1638	5187
240	1643	5177
241	1650	5169
242	1657	5163
243	1664	5157
244	1671	5150
245	1677	5142
246	1684	5136
247	1691	5128
248	1698	5123
249	1705	5116
250	1713	5112
251	1719	5105
252	1726	5097
253	1732	5089
254	1739	5082
255	1745	5073
256	1751	5064
257	1758	5058
258	1765	5050
259	1771	5042
260	1778	5034
261	1784	5025
262	1791	5019
263	1797	5010
264	1804	5004
265	1810	4995
266	1817	4990
267	1823	4981
268	1829	4972
269	1836	4965
270	1842	4957
271	1849	4950
272	1855	4941
273	1862	4934
274	1868	4927
275	1875	4918
276	1881	4912
277	1888	4904
278	1895	4898
279	1901	4889
280	1908	4882
281	1914	4874
282	1920	4865
283	1927	4858
284	1933	4849
285	1940	4844
286	1946	4836
287	1953	4829
288	1960	4822
289	1967	4815
290	1973	4807
291	1978	4798
292	1985	4792
293	1992	4784
294	1999	4777
295	2005	4769
296	2011	4760
297	2017	4752
298	2023	4744
299	2030	4738
300	2036	4730
301	2042	4721
302	2049	4714
303	2055	4705
304	2062	4699
305	2068	4691
306	2074	4683
307	2081	4675
308	2086	4666
309	2093	4660
310	2099	4651
311	2106	4645
312	2112	4637
313	2119	4630
314	2125	4622
315	2131	4614
316	2139	4608
317	2145	4600
318	2152	4594
319	2158	4586
320	2165	4579
321	2171	4572
322	2178	4565
323	2185	4559
324	2191	4551
325	2198	4545
326	2204	4537
327	2211	4529
328	2217	4522
329	2223	4514
330	2230	4508
331	2237	4501
332	2244	4495
333	2250	4488
334	2257	4481
335	2264	4474
336	2271	4468
337	2277	4461
338	2283	4453
339	2290	4446
340	2296	4438
341	2303	4432
342	2309	4424
343	2316	4416
344	2322	4410
345	2328	4401
346	2336	4396
347	2342	4389
348	2349	4382
349	2355	4374
350	2362	4367
351	2368	4359
352	2374	4352
353	2381	4346
354	2387	4338
355	2394	4331
356	2400	4323
357	2407	4316
358	2413	4309
359	2420	4302
360	2427	4296
361	2433	4288
362	2440	4282
363	2446	4274
364	2452	4266
365	2459	4260
366	2465	4252
367	2473	4247
368	2479	4239
369	2486	4232
